Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.449658,0.828562,0.333606,2.73016,0.0766429,2.27025
-0.432505,0.844021,0.317124,2.78204,0.081445,2.32824
-0.400997,0.87008,0.28664,2.76572,0.0914677,2.275
-0.377367,0.887622,0.264049,2.79474,0.103563,2.27887
-0.356138,0.901997,0.244064,2.81265,0.105221,2.2989
-0.328545,0.919038,0.217776,2.80746,0.107732,2.28046
-0.328459,0.919045,0.217877,2.82931,0.114897,2.2832
0.531595,-0.738877,-0.414088,3.26564,-0.601715,1.92942
0.548298,-0.716746,-0.430865,3.27188,-0.596488,1.92867
0.531566,-0.738882,-0.414114,3.27713,-0.600648,1.94228
0.548276,-0.71675,-0.430885,3.29318,-0.578657,1.92611
0.503295,-0.773145,-0.385929,3.22319,-0.634654,1.9375
0.514333,-0.760234,-0.396872,3.23854,-0.622728,1.93456
0.503275,-0.773147,-0.38595,3.25082,-0.632089,1.9684
0.51433,-0.760235,-0.396873,3.24244,-0.619699,1.93381
0.478695,-0.800015,-0.3617,3.18033,-0.66602,1.947
0.492052,-0.78574,-0.37483,3.18611,-0.662015,1.94618
0.483477,-0.794968,-0.366437,3.22352,-0.662011,1.99529
0.492052,-0.78574,-0.374829,3.20483,-0.648198,1.9418
0.471914,-0.806988,-0.355059,3.17034,-0.672643,1.94877
0.45949,-0.819296,-0.342962,3.19539,-0.690568,2.02281
0.415102,-0.858892,-0.299991,3.166,-0.716851,2.05125
0.363231,-0.897419,-0.250403,3.13509,-0.739967,2.0808
0.294338,-0.937534,-0.185457,3.10263,-0.75929,2.11142
0.211802,-0.971233,-0.108837,3.06849,-0.773198,2.14309
0.123557,-0.991937,-0.0281858,3.03313,-0.781612,2.17539
0.0192904,-0.997662,0.0655606,2.99702,-0.783942,2.20786
-0.0966546,-0.981053,0.167907,2.96078,-0.778779,2.23983
-0.22769,-0.932279,0.281094,2.92523,-0.766135,2.27055
-0.353977,-0.851263,0.387365,2.892,-0.744318,2.29845
-0.4455,-0.766719,0.462247,2.86156,-0.715662,2.32328
-0.511161,-0.688467,0.514517,2.83387,-0.682312,2.34527
-0.555734,-0.624234,0.549083,2.80874,-0.645504,2.36467
-0.585181,-0.57539,0.571393,2.78543,-0.606638,2.38228
-0.609706,-0.529785,0.589565,2.76369,-0.566239,2.39836
-0.633936,-0.479175,0.607056,2.74358,-0.524425,2.41287
-0.659297,-0.418405,0.624712,2.72539,-0.481151,2.42553
-0.682537,-0.352788,0.640066,2.70958,-0.43638,2.43596
-0.702712,-0.283852,0.652399,2.69604,-0.390425,2.44424
-0.71905,-0.213923,0.661214,2.68514,-0.343412,2.45009
-0.732041,-0.140078,0.666704,2.67661,-0.295691,2.45375
-0.742093,-0.0513124,0.66833,2.67102,-0.24741,2.45475
-0.746318,0.0490557,0.663779,2.6689,-0.198888,2.45262
-0.740411,0.178057,0.648141,2.73084,-0.145044,2.51443
-0.719228,0.318167,0.617641,2.73812,-0.0981182,2.50403
-0.681819,0.454965,0.572826,2.75011,-0.0532776,2.48959
-0.630382,0.579548,0.516472,2.7675,-0.0120292,2.47063
-0.570106,0.684864,0.453807,2.78886,0.0255642,2.44842
-0.504143,0.771768,0.387574,2.81421,0.0583832,2.42304
-0.437497,0.839469,0.322317,2.84229,0.0870105,2.39556
-0.359935,0.899438,0.247907,2.8729,0.110786,2.36622
-0.328406,0.91905,0.217936,2.84994,0.121884,2.28482
-0.328388,0.919052,0.217955,2.8304,0.115252,2.28334
-0.304146,0.932429,0.19512,2.86087,0.125593,2.28565
-0.286497,0.941266,0.178712,2.9055,0.129715,2.33552
-0.254451,0.95558,0.148731,2.89293,0.133778,2.28791
-0.223632,0.967235,0.120186,2.92752,0.14261,2.29035
-0.201242,0.974455,0.0996895,2.93961,0.143726,2.30386
-0.160711,0.985027,0.0624085,2.9364,0.144021,2.29092
-0.160656,0.985032,0.0624694,2.95264,0.146605,2.29197
0.676747,-0.47037,-0.566361,3.38678,-0.483869,1.92782
0.70918,-0.363226,-0.60426,3.39252,-0.475834,1.92972
0.689416,-0.432721,-0.580912,3.40084,-0.482565,1.94353
